atm_id,temperature,network_errors,dispenser_errors,cpu_usage,transaction_failures,failure_status
ATM80,92,21,6,71,22,1
ATM81,75,2,1,54,23,0
ATM82,62,27,9,36,24,1
ATM83,85,12,3,94,7,0
ATM84,95,15,13,44,1,0
ATM85,51,22,14,80,24,1
ATM86,71,25,9,78,19,1
ATM87,91,5,14,83,10,0
ATM88,86,0,7,82,11,0
ATM89,93,4,6,97,5,0
ATM90,94,19,13,76,2,1
ATM91,89,19,12,59,18,1
ATM92,66,23,14,48,22,1
ATM93,75,4,9,91,22,1
ATM94,58,11,4,30,0,0
ATM95,96,1,13,77,24,1
ATM96,89,12,4,30,15,0
ATM97,88,4,5,96,11,0
ATM98,75,15,2,86,13,0
ATM99,77,4,14,91,19,1
ATM100,54,11,9,77,20,1
ATM101,88,3,0,52,9,0
ATM102,54,3,1,81,9,0
ATM103,68,25,0,98,12,0
ATM104,53,15,7,31,16,0
ATM105,77,26,3,53,11,0
ATM106,99,2,11,62,0,0
ATM107,92,4,11,96,0,0
ATM108,82,7,9,72,11,1
ATM109,78,12,11,75,1,0
ATM110,99,2,6,37,9,0
ATM111,75,29,1,36,3,0
ATM112,99,12,10,58,23,1
ATM113,85,24,4,65,9,0
ATM114,86,8,7,93,2,0
ATM115,98,2,3,53,22,0
ATM116,81,4,11,84,12,1
ATM117,72,24,2,59,16,0
ATM118,98,29,3,42,18,1
ATM119,98,3,11,90,8,0
ATM120,68,11,8,57,13,0
ATM121,80,19,2,45,20,0
ATM122,54,2,11,54,19,1
ATM123,70,3,4,52,15,0
ATM124,88,12,4,71,6,0
ATM125,63,25,4,64,22,0
ATM126,78,10,10,47,14,1
ATM127,61,8,9,87,11,1
ATM128,66,28,5,36,13,0
ATM129,62,7,9,38,17,1
ATM130,76,25,1,34,4,0
ATM131,87,18,7,94,21,1
ATM132,66,6,8,74,3,0
ATM133,85,5,11,60,18,1
ATM134,93,21,6,48,6,1
ATM135,52,12,12,87,19,1
ATM136,77,7,12,68,0,0
ATM137,52,12,11,91,24,1
ATM138,98,24,7,62,5,1
ATM139,55,25,11,74,12,1
ATM140,96,20,5,65,2,1
ATM141,68,19,8,47,14,0
ATM142,90,16,13,44,0,1
ATM143,52,15,6,86,10,0
ATM144,61,9,7,53,20,0
ATM145,57,25,11,65,7,0
ATM146,99,27,11,70,3,1
ATM147,76,21,14,46,8,0
ATM148,82,20,3,58,12,0
ATM149,95,2,12,35,17,1
ATM150,54,14,8,95,9,0
ATM151,79,17,10,34,22,1
ATM152,82,21,0,47,14,0
ATM153,98,10,4,55,24,0
ATM154,71,26,10,78,12,1
ATM155,82,1,8,30,20,0
ATM156,97,22,5,98,4,1
ATM157,87,2,4,52,4,0
ATM158,86,9,9,46,20,1
ATM159,63,8,13,30,18,1
ATM160,94,12,3,91,0,0
ATM161,98,7,1,68,1,0
ATM162,52,26,1,41,0,0
ATM163,93,4,13,86,16,1
ATM164,97,14,6,43,1,0
ATM165,60,18,6,67,1,0
ATM166,87,17,1,59,14,1
ATM167,76,18,14,81,24,1
ATM168,87,0,7,59,22,0
ATM169,91,18,0,34,3,1
ATM170,59,23,0,46,19,0
ATM171,73,4,1,35,20,0
ATM172,51,12,13,72,15,1
ATM173,60,18,14,52,22,1
ATM174,65,10,5,45,7,0
ATM175,53,7,3,85,24,0
ATM176,52,2,10,61,17,1
ATM177,68,20,4,71,21,0
ATM178,70,5,0,34,8,0
ATM179,61,25,13,63,16,1
ATM180,63,25,12,56,8,0
ATM181,75,24,14,85,10,0
ATM182,97,28,0,55,3,1
ATM183,50,7,0,81,14,0
ATM184,96,23,5,43,22,1
ATM185,63,23,1,55,13,0
ATM186,56,2,14,52,13,1
ATM187,92,14,11,47,5,0
ATM188,84,18,14,93,24,1
ATM189,86,27,9,68,24,1
ATM190,66,6,5,73,24,0
ATM191,66,12,3,54,3,0
ATM192,59,2,8,47,14,0
ATM193,85,14,5,63,14,0
ATM194,57,7,0,71,8,0
ATM195,86,5,3,55,1,0
ATM196,94,5,4,62,20,0
ATM197,71,20,5,99,22,0
ATM198,97,3,13,91,23,1
ATM199,58,22,2,60,7,0
ATM200,86,3,7,35,1,0
ATM201,69,27,10,33,14,1
ATM202,55,21,0,80,24,0
ATM203,51,14,10,37,18,1
ATM204,94,11,4,99,21,0
ATM205,53,18,3,49,16,0
ATM206,61,14,0,43,5,0
ATM207,86,29,10,32,0,1
ATM208,55,17,7,39,4,0
ATM209,72,9,11,31,12,1
ATM210,89,1,3,94,4,0
ATM211,58,16,8,44,23,0
ATM212,87,22,2,78,4,1
ATM213,93,17,13,38,1,1
ATM214,61,2,2,30,7,0
ATM215,71,27,12,40,8,0
ATM216,86,13,11,59,2,0
ATM217,70,4,4,55,3,0
ATM218,74,12,9,47,7,0
ATM219,57,6,7,43,18,0
ATM220,87,0,6,92,14,0
ATM221,82,24,0,95,13,0
ATM222,89,7,2,68,18,0
ATM223,55,5,2,36,18,0
ATM224,57,9,3,44,14,0
ATM225,78,0,3,56,3,0
ATM226,78,5,8,56,22,0
ATM227,82,29,3,95,9,0
ATM228,54,26,9,67,12,1
ATM229,80,14,3,81,23,0
ATM230,64,28,7,34,14,0
ATM231,53,11,12,31,18,1
ATM232,85,3,9,72,4,0
ATM233,69,10,13,67,5,0
ATM234,57,22,14,75,10,0
ATM235,61,25,12,91,17,1
ATM236,74,0,14,89,10,0
ATM237,61,11,3,97,4,0
ATM238,86,7,14,60,8,0
ATM239,78,13,7,70,21,0
ATM240,60,22,0,75,4,0
ATM241,70,25,13,65,21,1
ATM242,72,24,0,92,21,0
ATM243,89,14,4,76,8,0
ATM244,58,9,3,86,20,0
ATM245,75,8,2,92,19,0
ATM246,74,25,10,67,1,0
ATM247,56,17,10,63,16,1
ATM248,92,26,11,80,21,1
ATM249,73,24,6,81,5,0
ATM250,73,0,0,58,10,0
ATM251,71,25,11,78,6,0
ATM252,66,19,8,78,19,0
ATM253,71,27,14,90,7,0
ATM254,98,6,0,42,22,0
ATM255,68,29,13,58,16,1
ATM256,94,28,13,45,7,1
ATM257,68,17,0,76,17,0
ATM258,51,21,11,67,18,1
ATM259,53,0,7,58,22,0
ATM260,88,2,9,63,0,0
ATM261,72,22,11,61,17,1
ATM262,56,28,7,94,24,0
ATM263,52,23,6,88,7,0
ATM264,96,4,2,80,0,0
ATM265,77,14,7,63,2,0
ATM266,81,23,13,61,23,1
ATM267,95,10,3,66,21,0
ATM268,70,13,14,84,15,1
ATM269,67,6,9,36,0,0
ATM270,72,20,2,48,3,0
ATM271,78,27,1,31,0,0
ATM272,96,4,3,40,9,0
ATM273,51,2,6,41,19,0
ATM274,54,4,5,38,1,0
ATM275,93,2,3,53,16,0
ATM276,59,29,7,88,13,0
ATM277,72,16,1,43,8,0
ATM278,89,1,12,54,6,0
ATM279,58,21,5,33,12,0
ATM280,83,22,4,99,17,0
ATM281,70,9,3,70,5,0
ATM282,83,16,4,54,5,0
ATM283,61,22,4,56,24,0
ATM284,80,5,10,69,1,0
ATM285,61,12,8,82,6,0
ATM286,59,12,0,55,20,0
ATM287,77,29,9,75,1,0
ATM288,92,0,2,82,3,0
ATM289,75,28,4,40,7,0
ATM290,60,3,0,88,6,0
ATM291,89,2,5,84,14,0
ATM292,73,21,5,98,23,0
ATM293,82,25,3,49,18,0
ATM294,84,19,10,91,12,1
ATM295,92,1,8,55,1,0
ATM296,58,8,7,46,0,0
ATM297,74,28,10,71,24,1
ATM298,88,2,2,73,18,0
ATM299,79,5,1,41,18,0
ATM300,86,11,10,78,16,1
ATM301,59,24,6,76,11,0
ATM302,65,23,2,37,20,0
ATM303,66,22,4,99,7,0
ATM304,74,17,8,41,14,0
ATM305,75,8,12,55,14,1
ATM306,81,9,6,46,22,0
ATM307,75,20,5,36,13,0
ATM308,64,20,6,38,18,0
ATM309,97,7,1,88,22,0
ATM310,78,17,14,68,2,0
ATM311,67,26,9,46,13,1
ATM312,80,23,2,89,12,0
ATM313,83,2,4,72,7,0
ATM314,75,22,6,68,14,0
ATM315,98,3,12,54,12,1
ATM316,67,0,12,71,11,1
ATM317,51,22,2,71,1,0
ATM318,79,26,6,42,12,0
ATM319,67,2,10,68,13,1
ATM320,78,29,0,91,20,0
ATM321,93,24,7,39,24,1
ATM322,88,19,4,94,16,1
ATM323,52,12,13,59,17,1
ATM324,53,17,13,66,24,1
ATM325,97,0,4,44,16,0
ATM326,73,3,11,88,4,0
ATM327,86,10,11,99,6,0
ATM328,95,23,10,91,12,1
ATM329,83,24,6,81,3,0
ATM330,57,19,12,92,21,1
ATM331,94,13,9,86,8,0
ATM332,98,25,2,35,4,1
ATM333,54,21,14,78,8,0
ATM334,84,19,9,90,9,0
ATM335,84,17,1,91,16,0
ATM336,73,2,2,42,23,0
ATM337,96,24,8,97,13,1
ATM338,86,1,10,85,2,0
ATM339,77,28,8,96,24,0
ATM340,83,11,9,38,14,1
ATM341,89,24,4,40,1,1
ATM342,73,27,14,67,7,0
ATM343,54,15,9,47,5,0
ATM344,86,27,12,57,4,1
ATM345,62,16,1,69,12,0
ATM346,81,29,12,87,2,0
ATM347,89,1,7,62,5,0
ATM348,73,18,7,88,15,0
ATM349,90,12,10,74,24,1
ATM350,91,3,14,56,5,0
ATM351,56,4,10,74,24,1
ATM352,80,22,9,39,10,0
ATM353,79,6,14,31,13,1
ATM354,62,28,11,68,1,0
ATM355,81,12,13,56,16,1
ATM356,90,16,7,89,23,1
ATM357,94,2,5,59,6,0
ATM358,59,8,1,92,14,0
ATM359,79,4,12,51,3,0
ATM360,69,3,1,97,16,0
ATM361,61,21,0,39,21,0
ATM362,50,21,9,79,13,1
ATM363,96,28,11,65,2,1
ATM364,61,6,12,40,0,0
ATM365,55,14,14,61,18,1
ATM366,60,25,6,55,1,0
ATM367,95,1,12,33,16,1
ATM368,84,12,8,68,14,0
ATM369,78,28,10,61,1,0
ATM370,96,13,3,51,10,0
ATM371,76,2,0,85,20,0
ATM372,96,15,4,88,19,0
ATM373,55,18,8,98,2,0
ATM374,50,25,11,67,14,1
ATM375,83,28,2,93,16,0
ATM376,74,23,11,47,14,1
ATM377,93,15,10,89,13,1
ATM378,74,16,12,82,7,0
ATM379,64,26,13,79,19,1
ATM380,56,2,12,93,11,1
ATM381,73,27,9,32,19,1
ATM382,95,14,8,46,11,0
ATM383,69,3,8,67,15,0
ATM384,71,21,4,31,23,0
ATM385,57,10,12,50,17,1
ATM386,79,17,13,67,10,0
ATM387,94,24,0,70,7,1
ATM388,60,21,2,70,16,0
ATM389,61,24,13,61,14,1
ATM390,65,21,5,49,0,0
ATM391,59,7,1,31,0,0
ATM392,82,8,12,59,0,0
ATM393,62,19,9,51,6,0
ATM394,51,5,6,75,17,0
ATM395,64,1,9,73,16,1
ATM396,89,10,12,96,5,0
ATM397,58,5,8,61,8,0
ATM398,99,11,7,79,19,0
ATM399,96,26,14,36,10,1
ATM400,69,15,3,35,21,0
ATM401,75,2,14,70,9,0
ATM402,63,10,1,41,22,0
ATM403,61,12,8,74,18,0
ATM404,68,22,13,74,7,0
ATM405,78,22,4,84,18,0
ATM406,93,17,5,47,18,1
ATM407,71,4,7,88,2,0
ATM408,77,9,2,64,21,0
ATM409,64,0,6,78,20,0
ATM410,80,25,12,53,19,1
ATM411,86,3,11,49,23,1
ATM412,99,16,2,65,20,1
ATM413,83,3,1,63,3,0
ATM414,55,6,9,87,21,1
ATM415,61,2,12,47,7,0
ATM416,70,14,0,55,7,0
ATM417,85,15,13,71,11,1
ATM418,63,13,1,66,4,0
ATM419,87,12,8,91,21,0
ATM420,96,13,7,31,6,0
ATM421,55,16,10,57,1,0
ATM422,84,4,4,94,7,0
ATM423,61,23,3,74,22,0
ATM424,96,10,9,96,21,1
ATM425,63,15,9,39,11,1
ATM426,79,8,0,34,19,0
ATM427,57,10,11,30,24,1
ATM428,69,27,8,66,14,0
ATM429,86,11,4,78,16,0
ATM430,93,23,11,35,11,1
ATM431,69,17,13,31,8,0
ATM432,86,19,9,58,0,1
ATM433,84,5,4,88,4,0
ATM434,82,16,2,41,9,0
ATM435,69,20,1,72,1,0
ATM436,74,17,12,86,6,0
ATM437,80,23,14,72,17,1
ATM438,72,11,5,52,12,0
ATM439,65,17,9,37,17,1
ATM440,70,0,6,37,5,0
ATM441,54,14,5,76,1,0
ATM442,50,22,6,72,9,0
ATM443,79,17,1,46,7,0
ATM444,96,7,0,75,3,0
ATM445,82,0,2,60,15,0
ATM446,63,20,4,91,1,0
ATM447,99,5,14,62,8,0
ATM448,74,15,12,60,8,0
ATM449,60,3,1,33,5,0
ATM450,68,5,1,42,8,0
ATM451,72,18,12,30,23,1
ATM452,56,24,4,44,0,0
ATM453,61,25,6,44,20,0
ATM454,68,27,12,62,16,1
ATM455,81,16,2,73,5,0
ATM456,75,10,2,95,13,0
ATM457,58,2,4,55,7,0
ATM458,97,1,5,57,20,0
ATM459,78,25,8,41,4,0
ATM460,83,15,4,73,3,0
ATM461,64,10,6,99,13,0
ATM462,99,11,10,72,12,1
ATM463,70,22,10,76,20,1
ATM464,64,24,3,80,14,0
ATM465,53,20,12,48,1,0
ATM466,63,28,3,81,13,0
ATM467,76,28,14,57,2,0
ATM468,57,15,9,65,17,1
ATM469,51,16,12,33,24,1
ATM470,79,10,6,68,12,0
ATM471,80,6,14,85,16,1
ATM472,91,28,9,85,3,1
ATM473,69,3,5,36,21,0
ATM474,50,11,7,74,9,0
ATM475,96,26,12,51,21,1
ATM476,70,21,11,38,8,0
ATM477,64,9,7,71,7,0
ATM478,73,15,0,55,4,0
ATM479,53,17,7,48,3,0
ATM480,88,9,8,47,18,0
ATM481,85,9,0,84,17,0
ATM482,54,14,0,62,22,0
ATM483,70,16,5,77,4,0
ATM484,64,2,11,61,10,0
ATM485,59,8,13,86,24,1
ATM486,51,2,6,47,2,0
ATM487,91,21,12,68,8,1
ATM488,98,10,6,53,13,0
ATM489,68,3,9,71,6,0
ATM490,94,13,3,65,2,0
ATM491,58,7,0,99,8,0
ATM492,88,3,12,78,1,0
ATM493,54,11,10,61,20,1
ATM494,57,5,7,79,2,0
ATM495,93,28,9,32,21,1
ATM496,55,1,6,73,1,0
ATM497,87,16,2,59,19,1
ATM498,57,21,11,87,3,0
ATM499,54,12,12,60,14,1
ATM500,65,9,13,59,24,1
ATM501,65,11,0,45,11,0
ATM502,57,19,2,45,12,0
ATM503,72,27,2,34,19,0
ATM504,89,23,11,94,24,1
ATM505,79,20,3,99,21,0
ATM506,67,7,6,61,0,0
ATM507,65,11,5,43,3,0
ATM508,82,22,1,95,8,0
ATM509,70,1,10,94,10,0
ATM510,52,19,13,52,3,0
ATM511,67,22,5,64,21,0
ATM512,92,14,5,89,4,0
ATM513,91,11,14,78,9,0
ATM514,87,17,12,64,23,1
ATM515,91,29,13,35,2,1
ATM516,65,6,3,43,8,0
ATM517,64,20,2,95,1,0
ATM518,84,17,13,49,17,1
ATM519,59,24,1,54,21,0
ATM520,82,3,14,43,0,0
ATM521,95,15,5,81,2,0
ATM522,84,8,5,54,12,0
ATM523,83,7,4,97,24,0
ATM524,64,3,12,89,11,1
ATM525,81,27,12,60,13,1
ATM526,69,17,12,89,5,0
ATM527,81,28,10,31,22,1
ATM528,68,18,4,63,9,0
ATM529,74,1,13,40,17,1
ATM530,80,23,14,38,2,0
ATM531,70,8,11,91,13,1
ATM532,56,15,11,33,3,0
ATM533,88,7,0,81,19,0
ATM534,85,27,5,79,4,0
ATM535,84,6,10,43,6,0
ATM536,86,28,5,34,22,1
ATM537,51,29,10,50,21,1
ATM538,87,14,4,39,22,0
ATM539,88,4,0,42,20,0
ATM540,75,17,12,82,17,1
ATM541,86,12,3,89,10,0
ATM542,70,19,6,55,3,0
ATM543,83,19,11,81,5,0
ATM544,91,20,9,42,16,1
ATM545,90,16,7,38,8,1
ATM546,50,1,11,77,0,0
ATM547,59,17,9,89,7,0
ATM548,70,27,10,63,7,0
ATM549,71,7,0,46,22,0
ATM550,73,12,2,98,11,0
ATM551,50,22,4,37,12,0
ATM552,57,24,6,72,0,0
ATM553,94,18,7,53,16,1
ATM554,54,19,4,87,13,0
ATM555,85,10,3,44,18,0
ATM556,56,18,11,80,10,0
ATM557,54,4,13,37,9,0
ATM558,87,14,11,37,7,0
ATM559,74,8,1,79,2,0
ATM560,98,3,13,97,13,1
ATM561,90,8,8,91,17,0
ATM562,59,20,3,41,7,0
ATM563,51,21,12,82,15,1
ATM564,81,27,1,40,9,0
ATM565,64,16,7,47,22,0
ATM566,58,24,7,88,13,0
ATM567,74,17,5,59,19,0
ATM568,70,11,2,75,16,0
ATM569,70,2,9,61,22,1
ATM570,88,16,11,76,17,1
ATM571,70,12,13,50,7,0
ATM572,95,7,13,36,22,1
ATM573,93,10,5,51,10,0
ATM574,74,21,11,58,12,1
ATM575,67,1,12,81,17,1
ATM576,80,14,2,52,23,0
ATM577,93,12,5,72,4,0
ATM578,82,23,2,92,21,0
ATM579,68,22,12,59,6,0
ATM580,93,14,8,37,9,0
ATM581,65,7,0,34,2,0
ATM582,50,3,7,93,9,0
ATM583,83,10,8,39,20,0
ATM584,95,6,10,56,1,0
ATM585,90,15,12,38,19,1
ATM586,85,21,9,87,21,1
ATM587,61,16,13,43,24,1
ATM588,83,20,8,49,10,0
ATM589,65,18,14,99,23,1
ATM590,68,4,9,33,14,1
ATM591,53,19,9,53,21,1
ATM592,84,25,4,83,7,0
ATM593,88,20,9,67,13,1
ATM594,53,27,8,74,19,0
ATM595,66,22,6,33,13,0
ATM596,52,23,4,87,22,0
ATM597,53,23,13,53,1,0
ATM598,79,17,2,60,18,0
ATM599,98,13,2,51,23,0
ATM600,94,11,13,87,5,0
ATM601,80,3,2,77,12,0
ATM602,85,29,6,84,0,0
ATM603,67,19,0,76,10,0
ATM604,94,0,0,99,3,0
ATM605,69,15,14,44,5,0
ATM606,96,13,11,38,15,1
ATM607,54,24,3,90,9,0
ATM608,99,2,12,99,16,1
ATM609,94,18,4,48,9,1
ATM610,84,13,9,98,4,0
ATM611,69,16,4,93,4,0
ATM612,85,5,9,33,6,0
ATM613,88,17,2,30,23,1
ATM614,85,5,8,83,13,0
ATM615,93,27,8,60,19,1
ATM616,73,24,3,59,23,0
ATM617,93,9,13,36,2,0
ATM618,77,13,7,39,15,0
ATM619,65,21,14,99,11,1
ATM620,58,12,3,85,10,0
ATM621,69,17,9,86,20,1
ATM622,53,17,0,36,5,0
ATM623,64,17,7,49,23,0
ATM624,64,15,6,50,9,0
ATM625,75,11,7,43,24,0
ATM626,86,25,4,98,2,1
ATM627,72,25,4,78,18,0
ATM628,74,20,11,90,8,0
ATM629,82,17,4,97,9,0
ATM630,56,21,6,62,16,0
ATM631,73,28,12,57,10,0
ATM632,90,6,5,78,16,0
ATM633,83,5,13,99,1,0
ATM634,50,9,4,34,1,0
ATM635,71,15,8,95,9,0
ATM636,83,15,2,68,21,0
ATM637,61,23,14,69,5,0
ATM638,59,2,2,92,16,0
ATM639,81,6,4,49,3,0
ATM640,95,19,5,44,23,1
ATM641,89,20,14,43,8,1
ATM642,89,25,11,55,16,1
ATM643,51,24,7,32,7,0
ATM644,93,0,9,35,6,0
ATM645,72,24,10,79,10,0
ATM646,68,4,2,40,23,0
ATM647,61,9,7,53,8,0
ATM648,85,4,4,84,8,0
ATM649,96,14,13,71,19,1
ATM650,55,11,1,36,15,0
ATM651,52,12,2,56,17,0
ATM652,92,7,5,62,0,0
ATM653,57,4,11,77,10,0
ATM654,86,3,13,99,13,1
ATM655,68,8,11,40,13,1
ATM656,65,0,14,50,12,1
ATM657,83,3,11,88,22,1
ATM658,76,4,8,32,0,0
ATM659,53,24,3,63,4,0
ATM660,84,28,11,38,19,1
ATM661,87,17,5,89,11,1
ATM662,60,1,14,32,11,1
ATM663,77,29,9,50,23,1
ATM664,75,29,0,64,19,0
ATM665,83,8,2,76,17,0
ATM666,60,24,6,77,21,0
ATM667,66,4,11,40,14,1
ATM668,76,2,0,45,1,0
ATM669,51,2,7,57,14,0
ATM670,88,5,8,49,0,0
ATM671,57,22,6,92,2,0
ATM672,53,25,8,76,5,0
ATM673,64,20,2,86,20,0
ATM674,95,19,13,46,6,1
ATM675,58,2,11,35,22,1
ATM676,76,1,7,75,5,0
ATM677,63,3,4,91,2,0
ATM678,68,29,14,54,7,0
ATM679,73,13,9,51,15,1
ATM680,68,13,2,32,9,0
ATM681,68,8,11,74,6,0
ATM682,63,8,10,48,14,1
ATM683,63,23,5,82,3,0
ATM684,89,16,13,38,0,1
ATM685,74,13,10,82,2,0
ATM686,90,26,13,70,3,1
ATM687,53,27,7,31,8,0
ATM688,95,21,8,84,15,1
ATM689,78,29,0,77,11,0
ATM690,84,10,13,79,20,1
ATM691,70,4,3,96,11,0
ATM692,82,20,12,90,8,0
ATM693,53,2,0,94,7,0
ATM694,94,22,14,69,11,1
ATM695,61,13,14,44,8,0
ATM696,68,25,3,51,7,0
ATM697,70,18,5,49,24,0
ATM698,78,18,3,84,6,0
ATM699,77,27,3,51,11,0
ATM700,94,2,5,95,23,0
ATM701,83,26,6,30,7,0
ATM702,72,5,5,54,17,0
ATM703,66,28,11,35,7,0
ATM704,68,27,9,94,24,1
ATM705,78,12,0,69,13,0
ATM706,84,15,12,85,16,1
ATM707,62,28,5,78,13,0
ATM708,98,29,7,72,19,1
ATM709,82,25,6,78,9,0
ATM710,92,21,13,38,23,1
ATM711,86,16,8,46,23,1
ATM712,70,18,10,68,22,1
ATM713,90,6,12,93,10,0
ATM714,95,18,10,75,12,1
ATM715,50,7,11,48,11,1
ATM716,57,7,12,41,15,1
ATM717,82,12,9,98,7,0
ATM718,74,26,13,59,12,1
ATM719,96,22,0,76,19,1
ATM720,67,17,1,97,0,0
ATM721,85,17,4,48,14,0
ATM722,77,7,3,44,8,0
ATM723,88,1,14,58,8,0
ATM724,59,1,2,39,13,0
ATM725,67,18,5,68,2,0
ATM726,69,5,10,31,5,0
ATM727,52,15,13,69,1,0
ATM728,66,8,13,41,2,0
ATM729,92,0,6,74,14,0
ATM730,75,4,4,91,16,0
ATM731,80,24,6,53,24,0
ATM732,87,27,4,83,10,1
ATM733,67,3,2,74,22,0
ATM734,58,20,5,59,11,0
ATM735,83,2,2,57,11,0
ATM736,64,8,14,52,7,0
ATM737,60,15,9,86,21,1
ATM738,85,27,0,53,6,0
ATM739,83,23,11,66,6,0
ATM740,53,4,7,94,0,0
ATM741,96,19,2,58,9,1
ATM742,67,27,2,72,14,0
ATM743,80,26,13,40,16,1
ATM744,98,5,4,37,1,0
ATM745,97,19,7,94,3,1
ATM746,98,12,1,98,23,0
ATM747,73,26,2,74,3,0
ATM748,75,26,13,93,9,0
ATM749,99,5,10,44,20,1
ATM750,79,9,4,66,9,0
ATM751,86,2,6,35,3,0
ATM752,67,27,8,58,12,0
ATM753,96,29,3,46,12,1
ATM754,81,15,5,97,4,0
ATM755,86,8,0,42,1,0
ATM756,94,21,4,80,2,1
ATM757,91,1,12,80,16,1
ATM758,70,13,14,50,11,1
ATM759,60,6,3,30,23,0
ATM760,84,12,14,40,3,0
ATM761,66,2,11,53,18,1
ATM762,86,6,4,37,4,0
ATM763,66,4,3,48,20,0
ATM764,83,10,5,74,14,0
ATM765,61,21,4,40,6,0
ATM766,77,4,0,85,19,0
ATM767,90,13,9,41,5,0
ATM768,66,18,2,55,15,0
ATM769,93,11,3,99,22,0
ATM770,85,5,10,62,23,1
ATM771,72,14,10,93,24,1
ATM772,99,16,2,82,13,1
ATM773,76,17,11,80,14,1
ATM774,96,3,6,64,15,0
ATM775,58,7,3,74,16,0
ATM776,66,16,0,48,5,0
ATM777,52,26,4,42,14,0
ATM778,95,28,14,51,21,1
ATM779,92,2,5,39,9,0
ATM780,70,15,11,95,8,0
ATM781,73,2,7,59,24,0
ATM782,79,14,2,48,17,0
ATM783,57,25,0,59,6,0
ATM784,52,0,3,54,4,0
ATM785,50,14,4,42,7,0
ATM786,57,4,11,30,3,0
ATM787,84,1,14,52,8,0
ATM788,83,13,13,33,5,0
ATM789,60,2,7,32,13,0
ATM790,62,12,1,74,18,0
ATM791,87,15,1,69,16,0
ATM792,83,9,11,45,5,0
ATM793,51,1,9,42,23,1
ATM794,96,27,1,68,2,1
ATM795,57,22,13,84,21,1
ATM796,78,6,4,68,0,0
ATM797,66,8,13,82,12,1
ATM798,70,18,4,48,24,0
ATM799,74,21,14,84,22,1
ATM800,81,29,9,39,3,0
ATM801,57,21,3,49,17,0
ATM802,63,17,11,82,23,1
ATM803,64,21,13,92,3,0
ATM804,62,26,6,37,17,0
ATM805,61,22,14,63,17,1
ATM806,83,10,8,78,14,0
ATM807,80,16,9,55,17,1
ATM808,81,21,5,79,7,0
ATM809,90,5,4,73,24,0
ATM810,78,27,10,94,10,0
ATM811,68,8,10,63,11,1
ATM812,53,3,1,44,18,0
ATM813,62,18,0,99,15,0
ATM814,61,18,4,46,22,0
ATM815,75,28,0,89,24,0
ATM816,59,14,6,50,10,0
ATM817,62,4,0,53,11,0
ATM818,60,16,3,76,24,0
